Date,close,high,low,open,volume
2012-09-21,367.00,367.46,365.06,366.11,6360376
2012-09-20,364.06,365.69,360.61,362.23,2907854
2012-09-19,363.75,364.28,358.20,358.75,3098782
2012-09-18,359.14,359.33,353.39,353.89,2067249
2012-09-17,354.99,356.44,352.50,354.06,1508307
2012-09-14,354.84,356.50,353.51,354.80,2618874
2012-09-13,353.02,354.50,345.27,346.55,2659302
2012-09-12,345.44,347.45,340.44,344.70,2642260
2012-09-11,346.10,350.33,345.50,348.57,1874004
2012-09-10,350.39,356.41,349.20,354.88,2560067
2012-09-07,353.08,356.13,348.83,350.00,3236308
2012-09-06,349.70,349.95,342.37,342.85,3044450
2012-09-05,340.36,343.25,339.57,340.05,1708169
2012-09-04,340.52,342.50,336.75,342.45,1889613
2012-08-31,342.55,344.29,340.02,342.00,2127125
2012-08-30,340.84,343.70,340.09,342.12,1627704
2012-08-29,344.01,344.50,338.08,338.69,2991037
2012-08-28,338.63,338.81,332.37,332.50,2058938
2012-08-27,334.61,336.00,329.62,331.50,2614131
2012-08-24,339.32,340.23,337.04,337.80,1429267
2012-08-23,338.40,340.24,335.50,337.14,1784453
2012-08-22,338.59,340.30,333.35,333.69,1909262
2012-08-21,334.76,339.00,331.08,336.49,2222805
2012-08-20,337.77,339.44,336.33,337.75,1758421
2012-08-17,338.57,338.63,335.85,337.50,2177896
2012-08-16,336.44,337.32,333.54,333.76,1717691
2012-08-15,333.77,337.13,332.05,335.14,2411100
2012-08-14,334.33,336.42,329.50,329.63,3662178
2012-08-13,330.01,330.08,323.34,323.49,3268073
2012-08-10,321.00,321.12,318.07,319.30,1434408
2012-08-09,321.17,323.19,320.76,322.26,1070288
2012-08-08,321.11,322.94,319.25,319.36,1322386
2012-08-07,320.27,322.13,318.23,320.89,1982695
2012-08-06,321.41,324.69,319.61,319.92,1782494
2012-08-03,320.67,321.86,318.07,320.00,1897446
2012-08-02,314.38,319.02,311.70,312.76,1977690
2012-08-01,316.34,319.75,315.69,318.65,1844556
